year,reg_id,reg_name,tax_id,tax_name,amount
2013,13,Provence-Alpes-Côte d'Azur,17,Charges financières,67098706.61
2013,13,Provence-Alpes-Côte d'Azur,14,CVAE,258064116.0
2013,13,Provence-Alpes-Côte d'Azur,46,Frais de personnel,230255443.2
2013,13,Provence-Alpes-Côte d'Azur,47,Impôts et taxes,914759935.3
2013,13,Provence-Alpes-Côte d'Azur,51,Recettes d'investissement,335602662.1
2013,13,Provence-Alpes-Côte d'Azur,60,Subventions reçues et participations,52639933.1
2013,9,Normandie,7,Autres dotations et subventions,19669105.48
2013,9,Normandie,11,Autres recettes d'investissement,29545612.31
2013,9,Normandie,32,Dépôts au Trésor,44407174.2
2013,9,Normandie,57,Subventions aux personnes de droit privé,64994389.59
2013,9,Normandie,65,Ventes de biens et services,539457.95
2013,5,Corse,9,Autres dépenses de fonctionnement,11537502.64
2013,5,Corse,31,Dépenses totales hors remb,628554495.4
2013,5,Corse,23,DRES,0.0
2013,5,Corse,37,Epargne brute,88114462.48
2013,5,Corse,59,Subventions d'équipement versées aux communes et aux groupements,33781372.1
2013,2,Bourgogne-Franche-Comté,6,Autres dotations de fonctionnement,78179201.0
2013,2,Bourgogne-Franche-Comté,7,Autres dotations et subventions,20876813.37
2013,2,Bourgogne-Franche-Comté,29,Dépenses de fonctionnement,480806336.5
2013,2,Bourgogne-Franche-Comté,43,Flux net de dette,-35203957.3
2013,2,Bourgogne-Franche-Comté,46,Frais de personnel,78491916.94
2013,2,Bourgogne-Franche-Comté,49,Produit des cesssions d'immobilisations,40880.83
2013,2,Bourgogne-Franche-Comté,51,Recettes d'investissement,52882285.58
2013,2,Bourgogne-Franche-Comté,53,Recettes de fonctionnement,605442193.5
2013,2,Bourgogne-Franche-Comté,58,Subventions d'équipement versées,103385977.4
2013,2,Bourgogne-Franche-Comté,59,Subventions d'équipement versées aux communes et aux groupements,33124936.64
2013,2,Bourgogne-Franche-Comté,64,Variation du fonds de roulement,-24487680.26
2013,2,Bourgogne-Franche-Comté,32,Dépôts au Trésor,18718282.47
2013,2,Bourgogne-Franche-Comté,24,Dotation globale de fonctionnement,119862400.0
2013,2,Bourgogne-Franche-Comté,34,Encours de dette,191634634.5
2013,2,Bourgogne-Franche-Comté,47,Impôts et taxes,212785377.0
2013,2,Bourgogne-Franche-Comté,52,Recettes d'investissement hors emprunts,47012317.07
2013,2,Bourgogne-Franche-Comté,60,Subventions reçues et participations,10650001.59
2013,11,Occitanie,14,CVAE,153017556.0
2013,11,Occitanie,40,FCTVA,16601296.52
2013,11,Occitanie,47,Impôts et taxes,515087688.8
2013,11,Occitanie,52,Recettes d'investissement hors emprunts,114122518.1
2013,11,Occitanie,59,Subventions d'équipement versées aux communes et aux groupements,44527662.18
2013,10,Nouvelle-Aquitaine,1,Achats et charges externes,83124644.94
2013,10,Nouvelle-Aquitaine,27,Dépenses d'investissement hors remb,520180024.8
2013,10,Nouvelle-Aquitaine,40,FCTVA,24678096.95
2013,10,Nouvelle-Aquitaine,56,Remboursements d'emprunts hors GAD,64415879.74
2013,11,Occitanie,6,Autres dotations de fonctionnement,103136758.0
2013,11,Occitanie,26,Dépenses d'investissement,515408587.8
2013,11,Occitanie,27,Dépenses d'investissement hors remb,474605816.8
2013,11,Occitanie,46,Frais de personnel,116127683.2
2013,11,Occitanie,50,Péréquations et compensations fiscales,67329257.0
2013,11,Occitanie,51,Recettes d'investissement,286414531.4
2013,11,Occitanie,59,Subventions d'équipement versées aux communes et aux groupements,35551295.87
2013,3,Bretagne,29,Dépenses de fonctionnement,738200596.1
2013,3,Bretagne,38,Epargne de gestion,308334900.4
2013,3,Bretagne,39,Epargne nette,266539422.2
2013,3,Bretagne,46,Frais de personnel,139899283.1
2013,3,Bretagne,51,Recettes d'investissement,197963552.0
2013,12,Pays de la Loire,1,Achats et charges externes,127660769.6
2013,12,Pays de la Loire,5,Annuité de la dette,133338393.4
2013,12,Pays de la Loire,12,Autres recettes de fonctionnement,5236557.07
2013,12,Pays de la Loire,17,Charges financières,28610210.64
2013,12,Pays de la Loire,20,Contributions aux organismes de transport,120537655.6
2013,12,Pays de la Loire,27,Dépenses d'investissement hors remb,580436433.2
2013,12,Pays de la Loire,31,Dépenses totales hors remb,1351779892.0
2013,12,Pays de la Loire,32,Dépôts au Trésor,27732298.8
2013,12,Pays de la Loire,33,Emprunts hors GAD,246612659.8
2013,12,Pays de la Loire,38,Epargne de gestion,333082344.4
2013,12,Pays de la Loire,43,Flux net de dette,141884477.0
2013,12,Pays de la Loire,48,Impôts locaux,253231363.0
2013,12,Pays de la Loire,51,Recettes d'investissement,379640780.7
2013,4,Centre-Val de Loire,7,Autres dotations et subventions,36234151.23
2013,4,Centre-Val de Loire,12,Autres recettes de fonctionnement,4112841.13
2013,4,Centre-Val de Loire,16,Cartes grises,80597387.5
2013,4,Centre-Val de Loire,18,Concours de l'Etat,389960003.6
2013,4,Centre-Val de Loire,26,Dépenses d'investissement,344627636.8
2013,4,Centre-Val de Loire,31,Dépenses totales hors remb,954799330.6
2013,4,Centre-Val de Loire,37,Epargne brute,234294401.2
2013,4,Centre-Val de Loire,46,Frais de personnel,110292280.2
2013,4,Centre-Val de Loire,52,Recettes d'investissement hors emprunts,80080447.6
2013,4,Centre-Val de Loire,53,Recettes de fonctionnement,896226133.3
2013,4,Centre-Val de Loire,55,Recettes totales hors emprunts,976306580.9
2013,4,Centre-Val de Loire,64,Variation du fonds de roulement,-10252787.99
2013,6,Grand Est,26,Dépenses d'investissement,222838189.3
2013,6,Grand Est,34,Encours de dette,412522361.1
2013,6,Grand Est,43,Flux net de dette,-25011263.03
2013,6,Grand Est,46,Frais de personnel,64481903.81
2013,6,Grand Est,50,Péréquations et compensations fiscales,20301502.0
2013,6,Grand Est,60,Subventions reçues et participations,11679164.21
2013,6,Grand Est,64,Variation du fonds de roulement,-23226667.25
2013,6,Grand Est,11,Autres recettes d'investissement,22739407.85
2013,6,Grand Est,29,Dépenses de fonctionnement,681996930.0
2013,6,Grand Est,50,Péréquations et compensations fiscales,30100069.0
2013,6,Grand Est,58,Subventions d'équipement versées,202744408.7
2013,7,Hauts-de-France,17,Charges financières,50421277.97
2013,7,Hauts-de-France,20,Contributions aux organismes de transport,235010096.5
2013,7,Hauts-de-France,48,Impôts locaux,331183157.0
2013,7,Hauts-de-France,57,Subventions aux personnes de droit privé,158923185.9
2013,7,Hauts-de-France,58,Subventions d'équipement versées,326001079.8
2013,1,Auvergne-Rhône-Alpes,12,Autres recettes de fonctionnement,3873858.35
2013,1,Auvergne-Rhône-Alpes,16,Cartes grises,41862782.5
2013,1,Auvergne-Rhône-Alpes,20,Contributions aux organismes de transport,104199439.7
2013,1,Auvergne-Rhône-Alpes,14,CVAE,61620029.0
2013,1,Auvergne-Rhône-Alpes,23,DRES,11100040.0
2013,1,Auvergne-Rhône-Alpes,43,Flux net de dette,15292113.25
2013,1,Auvergne-Rhône-Alpes,50,Péréquations et compensations fiscales,34715907.0
2013,1,Auvergne-Rhône-Alpes,64,Variation du fonds de roulement,1873172.58
2013,6,Grand Est,18,Concours de l'Etat,285226754.0
2013,6,Grand Est,29,Dépenses de fonctionnement,506483243.4
2013,6,Grand Est,30,Dépenses totales,753404337.3
2013,6,Grand Est,43,Flux net de dette,-3910710.39
2013,6,Grand Est,48,Impôts locaux,151846804.0
2013,6,Grand Est,52,Recettes d'investissement hors emprunts,43298961.03
2013,6,Grand Est,65,Ventes de biens et services,691246.19
2013,1,Auvergne-Rhône-Alpes,1,Achats et charges externes,149045266.7
2013,1,Auvergne-Rhône-Alpes,24,Dotation globale de fonctionnement,581503379.0
2013,1,Auvergne-Rhône-Alpes,33,Emprunts hors GAD,217303571.4
2013,1,Auvergne-Rhône-Alpes,59,Subventions d'équipement versées aux communes et aux groupements,82628923.75
2013,8,Île-de-France,5,Annuité de la dette,758629367.5
2013,8,Île-de-France,8,Autres dépenses d'investissement,33028954.41
2013,8,Île-de-France,31,Dépenses totales hors remb,4369532541.0
2013,8,Île-de-France,40,FCTVA,93824701.0
2013,8,Île-de-France,43,Flux net de dette,398980724.9
2013,8,Île-de-France,49,Produit des cesssions d'immobilisations,1047411.92
2013,8,Île-de-France,53,Recettes de fonctionnement,3525528050.0
2013,8,Île-de-France,55,Recettes totales hors emprunts,4060251936.0
2013,9,Normandie,7,Autres dotations et subventions,23247518.4
2013,9,Normandie,16,Cartes grises,58472558.75
2013,9,Normandie,17,Charges financières,8033153.34
2013,9,Normandie,26,Dépenses d'investissement,267668004.5
2013,9,Normandie,30,Dépenses totales,752005822.9
2013,9,Normandie,37,Epargne brute,211208716.4
2013,9,Normandie,38,Epargne de gestion,219317776.3
2013,9,Normandie,56,Remboursements d'emprunts hors GAD,17541526.24
2013,9,Normandie,59,Subventions d'équipement versées aux communes et aux groupements,48700253.11
2013,7,Hauts-de-France,6,Autres dotations de fonctionnement,94575921.0
2013,7,Hauts-de-France,11,Autres recettes d'investissement,21058213.66
2013,7,Hauts-de-France,15,Capacité ou besoin de financement,-40262977.56
2013,7,Hauts-de-France,17,Charges financières,14776783.34
2013,7,Hauts-de-France,20,Contributions aux organismes de transport,171108920.8
2013,7,Hauts-de-France,43,Flux net de dette,-40517225.64
2013,7,Hauts-de-France,47,Impôts et taxes,361915708.7
2013,7,Hauts-de-France,57,Subventions aux personnes de droit privé,80122584.54
2013,10,Nouvelle-Aquitaine,8,Autres dépenses d'investissement,19918777.92
2013,10,Nouvelle-Aquitaine,17,Charges financières,13017905.43
2013,10,Nouvelle-Aquitaine,20,Contributions aux organismes de transport,33899259.2
2013,10,Nouvelle-Aquitaine,47,Impôts et taxes,284421121.0
2013,10,Nouvelle-Aquitaine,50,Péréquations et compensations fiscales,20472510.0
2013,10,Nouvelle-Aquitaine,51,Recettes d'investissement,74002535.48
2013,10,Nouvelle-Aquitaine,61,TICPE,83956517.0
2013,10,Nouvelle-Aquitaine,65,Ventes de biens et services,63970.75
2013,10,Nouvelle-Aquitaine,10,Autres impôts et taxes,112435259.0
2013,10,Nouvelle-Aquitaine,17,Charges financières,10045224.59
2013,10,Nouvelle-Aquitaine,28,Dépenses d'équipement,21609904.26
2013,10,Nouvelle-Aquitaine,31,Dépenses totales hors remb,383914252.1
2013,10,Nouvelle-Aquitaine,32,Dépôts au Trésor,36678531.04
2013,10,Nouvelle-Aquitaine,23,DRES,6756710.0
2013,10,Nouvelle-Aquitaine,33,Emprunts hors GAD,11000000.0
2013,10,Nouvelle-Aquitaine,34,Encours de dette,246042612.2
2013,10,Nouvelle-Aquitaine,50,Péréquations et compensations fiscales,20619876.0
2013,10,Nouvelle-Aquitaine,51,Recettes d'investissement,34645132.85
2013,10,Nouvelle-Aquitaine,61,TICPE,80328250.0
2013,14,Guadeloupe,7,Autres dotations et subventions,50657688.29
2013,14,Guadeloupe,17,Charges financières,5727218.21
2013,14,Guadeloupe,37,Epargne brute,55193302.51
2013,14,Guadeloupe,38,Epargne de gestion,64884437.1
2013,15,Martinique,28,Dépenses d'équipement,93770022.59
2013,15,Martinique,27,Dépenses d'investissement hors remb,191390863.1
2013,15,Martinique,29,Dépenses de fonctionnement,213612529.6
2013,15,Martinique,32,Dépôts au Trésor,41061304.0
2013,15,Martinique,34,Encours de dette,166655910.5
2013,15,Martinique,54,Recettes totales,395514186.1
2013,15,Martinique,61,TICPE,0.0
2013,16,Guyane,25,Dépenses d'intervention,51933232.2
2013,16,Guyane,23,DRES,10568844.0
2013,16,Guyane,37,Epargne brute,15997753.07
2013,16,Guyane,39,Epargne nette,7428194.34
2013,16,Guyane,48,Impôts locaux,7818670.0
2013,16,Guyane,54,Recettes totales,151490207.7
2013,16,Guyane,55,Recettes totales hors emprunts,151489207.7
2013,17,La Réunion,8,Autres dépenses d'investissement,12357485.01
2013,17,La Réunion,17,Charges financières,9876686.35
2013,17,La Réunion,39,Epargne nette,31177724.26
2013,17,La Réunion,46,Frais de personnel,104963787.1
2013,17,La Réunion,64,Variation du fonds de roulement,3019294.46
2014,13,Provence-Alpes-Côte d'Azur,8,Autres dépenses d'investissement,10884506.54
2014,13,Provence-Alpes-Côte d'Azur,7,Autres dotations et subventions,44020993.14
2014,13,Provence-Alpes-Côte d'Azur,33,Emprunts hors GAD,556000000.0
2014,13,Provence-Alpes-Côte d'Azur,37,Epargne brute,181022163.3
2014,13,Provence-Alpes-Côte d'Azur,46,Frais de personnel,242116398.4
2014,13,Provence-Alpes-Côte d'Azur,51,Recettes d'investissement,644704387.9
2014,13,Provence-Alpes-Côte d'Azur,58,Subventions d'équipement versées,412943255.4
2014,13,Provence-Alpes-Côte d'Azur,61,TICPE,282618294.0
2014,13,Provence-Alpes-Côte d'Azur,65,Ventes de biens et services,8499274.13
2014,9,Normandie,26,Dépenses d'investissement,244066834.0
2014,9,Normandie,27,Dépenses d'investissement hors remb,215721973.4
2014,9,Normandie,30,Dépenses totales,654113980.1
2014,9,Normandie,32,Dépôts au Trésor,29656780.49
2014,9,Normandie,23,DRES,12779832.0
2014,9,Normandie,43,Flux net de dette,-11212658.57
2014,9,Normandie,58,Subventions d'équipement versées,135217577.0
2014,5,Corse,10,Autres impôts et taxes,188910472.8
2014,5,Corse,28,Dépenses d'équipement,66453266.98
2014,5,Corse,64,Variation du fonds de roulement,3084019.81
2014,2,Bourgogne-Franche-Comté,6,Autres dotations de fonctionnement,39698521.0
2014,2,Bourgogne-Franche-Comté,29,Dépenses de fonctionnement,484072752.7
2014,2,Bourgogne-Franche-Comté,34,Encours de dette,491783896.1
2014,2,Bourgogne-Franche-Comté,37,Epargne brute,134395271.9
2014,2,Bourgogne-Franche-Comté,6,Autres dotations de fonctionnement,41769734.0
2014,2,Bourgogne-Franche-Comté,29,Dépenses de fonctionnement,343191935.9
2014,2,Bourgogne-Franche-Comté,49,Produit des cesssions d'immobilisations,438287.26
2014,2,Bourgogne-Franche-Comté,54,Recettes totales,494879633.3
2014,2,Bourgogne-Franche-Comté,58,Subventions d'équipement versées,92943848.09
2014,2,Bourgogne-Franche-Comté,61,TICPE,78488449.0
2014,2,Bourgogne-Franche-Comté,64,Variation du fonds de roulement,-1549924.98
2014,11,Occitanie,1,Achats et charges externes,90932474.52
2014,11,Occitanie,8,Autres dépenses d'investissement,14643577.45
2014,11,Occitanie,14,CVAE,162843530.0
2014,11,Occitanie,30,Dépenses totales,1150509778.0
2014,11,Occitanie,59,Subventions d'équipement versées aux communes et aux groupements,47893951.96
2014,10,Nouvelle-Aquitaine,12,Autres recettes de fonctionnement,19712267.39
2014,10,Nouvelle-Aquitaine,18,Concours de l'Etat,378819847.0
2014,10,Nouvelle-Aquitaine,14,CVAE,162913406.0
2014,10,Nouvelle-Aquitaine,34,Encours de dette,684555298.9
2014,10,Nouvelle-Aquitaine,53,Recettes de fonctionnement,1065971445.0
2014,10,Nouvelle-Aquitaine,55,Recettes totales hors emprunts,1157964388.0
2014,10,Nouvelle-Aquitaine,57,Subventions aux personnes de droit privé,102853114.5
2014,10,Nouvelle-Aquitaine,58,Subventions d'équipement versées,359286752.5
2014,11,Occitanie,1,Achats et charges externes,119498936.1
2014,11,Occitanie,9,Autres dépenses de fonctionnement,7382953.28
2014,11,Occitanie,16,Cartes grises,91692097.82
2014,11,Occitanie,20,Contributions aux organismes de transport,106250000.0
2014,11,Occitanie,24,Dotation globale de fonctionnement,221971632.0
2014,11,Occitanie,23,DRES,19154520.0
2014,11,Occitanie,52,Recettes d'investissement hors emprunts,128481843.8
2014,3,Bretagne,1,Achats et charges externes,91828296.5
2014,3,Bretagne,15,Capacité ou besoin de financement,-201931378.9
2014,3,Bretagne,17,Charges financières,10037073.06
2014,3,Bretagne,31,Dépenses totales hors remb,1272282412.0
2014,3,Bretagne,32,Dépôts au Trésor,8888766.68
2014,3,Bretagne,58,Subventions d'équipement versées,408131876.0
2014,3,Bretagne,61,TICPE,226623711.0
2014,12,Pays de la Loire,20,Contributions aux organismes de transport,131595325.0
2014,12,Pays de la Loire,23,DRES,23123412.0
2014,12,Pays de la Loire,51,Recettes d'investissement,440086598.8
2014,12,Pays de la Loire,56,Remboursements d'emprunts hors GAD,151369991.2
2014,4,Centre-Val de Loire,6,Autres dotations de fonctionnement,70259820.0
2014,4,Centre-Val de Loire,15,Capacité ou besoin de financement,-7126078.01
2014,4,Centre-Val de Loire,27,Dépenses d'investissement hors remb,307413377.5
2014,4,Centre-Val de Loire,37,Epargne brute,232129700.4
2014,4,Centre-Val de Loire,48,Impôts locaux,204887862.1
2014,4,Centre-Val de Loire,51,Recettes d'investissement,123157599.1
2014,4,Centre-Val de Loire,65,Ventes de biens et services,20746.96
2014,6,Grand Est,23,DRES,17835249.0
2014,6,Grand Est,43,Flux net de dette,29694671.79
2014,6,Grand Est,47,Impôts et taxes,282251575.1
2014,6,Grand Est,50,Péréquations et compensations fiscales,19833297.0
2014,6,Grand Est,60,Subventions reçues et participations,13092031.81
2014,6,Grand Est,65,Ventes de biens et services,388573.64
2014,6,Grand Est,5,Annuité de la dette,84250191.12
2014,6,Grand Est,9,Autres dépenses de fonctionnement,6245464.87
2014,6,Grand Est,7,Autres dotations et subventions,39181835.65
2014,6,Grand Est,18,Concours de l'Etat,298450963.0
2014,6,Grand Est,28,Dépenses d'équipement,45653783.79
2014,6,Grand Est,30,Dépenses totales,973109699.8
2014,6,Grand Est,46,Frais de personnel,131132982.2
2014,7,Hauts-de-France,6,Autres dotations de fonctionnement,119041240.0
2014,7,Hauts-de-France,26,Dépenses d'investissement,653927230.1
2014,7,Hauts-de-France,31,Dépenses totales hors remb,1785590752.0
2014,7,Hauts-de-France,50,Péréquations et compensations fiscales,103639810.0
2014,7,Hauts-de-France,52,Recettes d'investissement hors emprunts,168412901.9
2014,7,Hauts-de-France,59,Subventions d'équipement versées aux communes et aux groupements,101946916.9
2014,1,Auvergne-Rhône-Alpes,8,Autres dépenses d'investissement,11469002.5
2014,1,Auvergne-Rhône-Alpes,6,Autres dotations de fonctionnement,36165185.0
